date,day_of_week,month,is_weekend,day_of_year,rainfall,humidity,temperature,humidity_drop,festival,festival_name,respiratory_alert,actual_patients,baseline_patients,week_of_year,quarter,flu_season,monsoon_season,monday_adjacent,patients_prev_day,patients_3day_avg,patients_7day_avg,patient_growth_rate,rolling_std_patients,rainfall_prev_day,cumulative_rainfall_3day,humidity_trend,days_until_festival,estimated_bed_occupancy,emergency_load_index,staff_pressure_index,surge_risk
2023-01-01,6,1,1,1,0.0,52.48357076505616,27.94780247960799,0,0,,0.0,93,110,52,1,1,0,1,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,30,73.33333333333333,0.0,1.4666666666666666,LOW
2023-01-02,0,1,0,2,0.0,59.93731356277662,28.650461335147803,0,0,,0.0,110,110,1,1,1,0,1,93.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,30,62.0,0.0,0.62,HIGH
2023-01-03,1,1,0,3,0.0,74.88352679009229,29.40925042984563,0,0,,0.0,104,110,1,1,1,0,1,110.0,101.5,101.5,0.08374384236453201,12.020815280171307,0.0,0.0,0.0,30,67.66666666666666,0.0,1.083370916979129,MEDIUM
2023-01-04,2,1,0,4,0.0,67.07231468790089,27.55625742324438,0,0,,0.0,111,110,1,1,1,0,0,104.0,102.33333333333333,102.33333333333333,0.01628664495114011,8.621678104251709,0.0,0.0,14.588743922844728,30,68.22222222222221,0.0,0.976317242000586,LOW
2023-01-05,3,1,0,5,0.0,69.62427429541036,25.55990362670053,0,0,,0.0,112,110,1,1,1,0,0,111.0,108.33333333333333,104.5,0.06220095693779904,8.266397845091499,0.0,0.0,9.686960732633736,30,72.22222222222221,0.0,1.0207310332949706,LOW
2023-01-06,4,1,0,6,0.0,73.00708026383872,26.229694490813383,0,0,,0.0,112,110,1,1,1,0,0,112.0,109.0,106.0,0.05660377358490566,7.905694150420949,0.0,0.0,-1.8764465262535737,30,72.66666666666667,0.0,1.0139068874652946,LOW
2023-01-07,5,1,1,7,0.0,65.06129567516169,26.482584672493825,0,0,,0.0,103,110,1,1,1,0,1,112.0,111.66666666666667,107.0,0.04672897196261682,7.4833147735478835,0.0,0.0,-2.0110190127391974,30,74.44444444444444,0.4672897196261682,2.0459800998085647,LOW
2023-01-08,6,1,1,8,0.0,64.86488433041109,29.582974560935234,0,0,,0.0,99,110,1,1,1,0,1,103.0,109.0,106.42857142857143,-0.03221476510067116,6.9965978126787425,0.0,0.0,-4.759389964999272,30,72.66666666666667,-0.3221476510067116,1.9617527743879886,MEDIUM
2023-01-09,0,1,0,9,0.0,65.2510632434563,28.937927987886205,0,0,,0.0,123,110,2,1,1,0,1,99.0,104.66666666666667,107.28571428571429,-0.0772303595206392,5.219012860502956,0.0,0.0,-7.756017020382416,30,69.77777777777779,-0.0,0.8798633375775476,LOW
2023-01-10,1,1,0,10,0.0,65.0489433981617,30.277625452477345,0,0,,0.0,137,110,2,1,1,0,1,123.0,108.33333333333333,109.14285714285714,0.12696335078534035,7.946247991527644,0.0,0.0,-0.012352276999990863,30,72.22222222222221,0.0,1.0091700663607202,MEDIUM
2023-01-11,2,1,0,11,0.0,65.00125561848535,31.719550825979628,0,0,,0.0,142,110,2,1,1,0,0,137.0,119.66666666666667,113.85714285714286,0.2032622333751568,12.733532783279625,0.0,0.0,0.13637128807425825,30,79.77777777777779,0.0,1.3057042521330429,LOW
